surface,reading,reading_seion,reading_search,count_hira
廻り合い,めぐりあい,めくりあい,あい,5
グラタン,ぐらたん,くらたん,たん,4
下生え,したばえ,したはえ,はえ,4
万謝,ばんしゃ,はんしゃ,しゃ,4
彪,あや,あや,あや,2
海仁草,まくり,まくり,くり,3
節句働き,せっくばたらき,せっくはたらき,らき,7
韮,にら,にら,にら,2
コスト,こすと,こすと,すと,3
擂り鉢,すりばち,すりはち,はち,4
鎖線,させん,させん,せん,3
袱紗,ふくさ,ふくさ,くさ,3
井守,いもり,いもり,もり,3
蹴込,けこみ,けこみ,こみ,3
白,しろ,しろ,しろ,2
白,しら,しら,しら,2
雪雲,ゆきぐも,ゆきくも,くも,4
卿,きょー,きょー,ょー,3
月下氷人,げっかひょーじん,けっかひょーしん,しん,8
コウバイ,こーばい,こーはい,はい,4
敵役,かたきやく,かたきやく,やく,5
清朝,せいちょー,せいちょー,ょー,5
胎生,たいせい,たいせい,せい,4
だんじり,だんじり,たんしり,しり,4
ばね,ばね,はね,はね,2
コースアウト,こーすあうと,こーすあうと,うと,6
財政難,ざいせいなん,さいせいなん,なん,6
ツボスミレ,つぼすみれ,つほすみれ,みれ,5
万福,ばんぷく,はんふく,ふく,4
段梯子,だんばしご,たんはしこ,しこ,5
祭壇,さいだん,さいたん,たん,4
年の暮れ,としのくれ,としのくれ,くれ,5
サウナ,さうな,さうな,うな,3
葬具,そーぐ,そーく,ーく,3
純真,じゅんしん,しゅんしん,しん,5
あご,あご,あこ,あこ,2
片偏,かたへん,かたへん,へん,4
一転機,いってんき,いってんき,んき,5
一転機,いちてんき,いちてんき,んき,5
ヒドラジット,ひどらじっと,ひとらしっと,っと,6
勅勘,ちょっかん,ちょっかん,かん,5
失意,しつい,しつい,つい,3
物性,ぶっせい,ふっせい,せい,4
ほろ,ほろ,ほろ,ほろ,2
働きがい,はたらきがい,はたらきかい,かい,6
パロディ,ぱろでぃ,はろてぃ,てぃ,4
臼状,きゅーじょー,きゅーしょー,ょー,6
ベニマス,べにます,へにます,ます,4
がらくた,がらくた,からくた,くた,4
美育,びいく,ひいく,いく,3
語録,ごろく,ころく,ろく,3
山猿,やまざる,やまさる,さる,4
ザーメン,ざーめん,さーめん,めん,4
けがれ,けがれ,けかれ,かれ,3
相棒,あいぼー,あいほー,ほー,4
埋納経,まいのーきょー,まいのーきょー,ょー,7
シズミウオ,しずみうお,しすみうお,うお,5
スプリント,すぷりんと,すふりんと,んと,5
正伝,せいでん,せいてん,てん,4
ニトロセルロース,にとろせるろーす,にとろせるろーす,ーす,8
焼野が原,やけのがはら,やけのかはら,はら,6
切首,きりくび,きりくひ,くひ,4
傍役,わきやく,わきやく,やく,4
トンボ,とんぼ,とんほ,んほ,3
プロデューサー,ぷろでゅーさー,ふろてゅーさー,さー,7
身柱元,ちりけもと,ちりけもと,もと,5
出目金,でめきん,てめきん,きん,4
宝島,たからじま,たからしま,しま,5
貴志,きし,きし,きし,2
気位,きぐらい,きくらい,らい,4
大枠,おーわく,おーわく,わく,4
緯線,いせん,いせん,せん,3
大兄,たいけい,たいけい,けい,4
本人,ほんにん,ほんにん,にん,4
給餌,きゅーじ,きゅーし,ーし,4
歴年,れきねん,れきねん,ねん,4
辨慶縞,べんけいじま,へんけいしま,しま,6
アクチュアル,あくちゅある,あくちゅある,ある,6
振り合い,ふりあい,ふりあい,あい,4
