surface,reading,reading_seion,reading_search,count_hira
美梨,みり,みり,みり,2
勝敏,かつとし,かつとし,とし,4
美崎,みさき,みさき,さき,3
マサミクリステル,まさみくりすてる,まさみくりすてる,てる,8
重久,しげひさ,しけひさ,ひさ,4
盛田,もりた,もりた,りた,3
達生,たつお,たつお,つお,3
きよ美,きよみ,きよみ,よみ,3
金済経,きんさいけい,きんさいけい,けい,6
松魚,しょーぎょ,しょーきょ,きょ,5
小禄,おろく,おろく,ろく,3
冬野,ふゆの,ふゆの,ゆの,3
ルシア,るしあ,るしあ,しあ,3
國賀,くにか,くにか,にか,3
井月,いつき,いつき,つき,3
樫木,かしき,かしき,しき,3
正芳,まさよし,まさよし,よし,4
尾本,おもと,おもと,もと,3
ヤーシン,やーしん,やーしん,しん,4
トルーマン,とるーまん,とるーまん,まん,5
理江,りえ,りえ,りえ,2
千陽,ちはる,ちはる,はる,3
ハシェック,はしぇっく,はしぇっく,っく,5
リリセ,りりせ,りりせ,りせ,3
徳巻,とくまき,とくまき,まき,4
西阪,にしさか,にしさか,さか,4
黒川,くろかわ,くろかわ,かわ,4
塩澤,しおざわ,しおさわ,さわ,4
慾斎,よくさい,よくさい,さい,4
伊津佳,いつか,いつか,つか,3
日蓮,にちれん,にちれん,れん,4
東条,とーじょー,とーしょー,ょー,5
鎮雄,しずお,しすお,すお,3
聡志,さとし,さとし,とし,3
忠人,ただと,たたと,たと,3
辰沼,たつぬま,たつぬま,ぬま,4
公俊,きみとし,きみとし,とし,4
蝶八郎,ちょーはちろー,ちょーはちろー,ろー,7
四葉,よつば,よつは,つは,3
折井,おりい,おりい,りい,3
ルー,るー,るー,るー,2
とお子,とーこ,とーこ,ーこ,3
末岡,すえおか,すえおか,おか,4
東商ガール,とーしょーがーる,とーしょーかーる,ーる,8
近田,ちかだ,ちかた,かた,3
折笠,おりかさ,おりかさ,かさ,4
真寿代,ますよ,ますよ,すよ,3
てつ,てつ,てつ,てつ,2
村重,むらしげ,むらしけ,しけ,4
由季,ゆき,ゆき,ゆき,2
橋見,はしみ,はしみ,しみ,3
ハン,はん,はん,はん,2
定道,さだみち,さたみち,みち,4
秋航,しゅーこー,しゅーこー,こー,5
若桑,わかくわ,わかくわ,くわ,4
やまもと,やまもと,やまもと,もと,4
宍道,しんじ,しんし,んし,3
ジョーンズ,じょーんず,しょーんす,んす,5
河内,かわうち,かわうち,うち,4
河内,かわち,かわち,わち,3
美操,みさお,みさお,さお,3
隆重,たかしげ,たかしけ,しけ,4
功夫,いさお,いさお,さお,3
希久子,きくこ,きくこ,くこ,3
弘典,ひろのり,ひろのり,のり,4
幸香,ゆか,ゆか,ゆか,2
澄雄,すみお,すみお,みお,3
力丸,りきまる,りきまる,まる,4
健次,けんじ,けんし,んし,3
本陣,ほんじん,ほんしん,しん,4
吉根,きっこ,きっこ,っこ,3
宝水,ほーすい,ほーすい,すい,4
輝男,てるお,てるお,るお,3
政洋,まさひろ,まさひろ,ひろ,4
惠美,えみ,えみ,えみ,2
啓伍,けいご,けいこ,いこ,3
由晴,よしはる,よしはる,はる,4
雁之助,がんのすけ,かんのすけ,すけ,5
晃二,こーじ,こーし,ーし,3
麗子,れいこ,れいこ,いこ,3
東福門院,とーふくもんいん,とーふくもんいん,いん,8
すぎやま,すぎやま,すきやま,やま,4
宮脇,みやわき,みやわき,わき,4
