surface,reading,reading_seion,reading_search,count_hira
ピラトミ山,ぴらとみやま,ひらとみやま,やま,6
味方中学前,あじかたちゅーがくまえ,あしかたちゅーかくまえ,まえ,11
とらや,とらや,とらや,らや,3
長戸鼻,ながとばな,なかとはな,はな,5
大岩扇山,おーがんせんざん,おーかんせんさん,さん,8
筏川,いかだがわ,いかたかわ,かわ,5
内川川,うちかわがわ,うちかわかわ,かわ,6
五座小屋峠,ござごやとーげ,こさこやとーけ,ーけ,7
亀沢山,かめざわやま,かめさわやま,やま,6
剣ケ峰,けんがみね,けんかみね,みね,5
東京厚生年金会館,とーきょーこーせいねんきんかいかん,とーきょーこーせいねんきんかいかん,かん,17
御影森山,みかげもりやま,みかけもりやま,やま,7
裁判所前,さいばんしょまえ,さいはんしょまえ,まえ,8
馬見ヶ崎川,まみがさきがわ,まみかさきかわ,かわ,7
大鰐線,おーわにせん,おーわにせん,せん,6
西山野,にしやまの,にしやまの,まの,5
リヤウシ崎,りやうしざき,りやうしさき,さき,6
臂出山,ひじでやま,ひしてやま,やま,5
小天狗岳,こてんぐだけ,こてんくたけ,たけ,6
一ノ森,いちのもり,いちのもり,もり,5
神居尻山,かもいしりやま,かもいしりやま,やま,7
道川大滝,みちかわおーたき,みちかわおーたき,たき,8
カゴ,かご,かこ,かこ,2
岩内川,いわないがわ,いわないかわ,かわ,6
淵嶽山高福寺,えんたけさんこーふくじ,えんたけさんこーふくし,くし,11
九品仏,くほんぶつ,くほんふつ,ふつ,5
岡山駅前,おかやまえきまえ,おかやまえきまえ,まえ,8
鞍瀬川,くらせがわ,くらせかわ,かわ,5
五桂池,ごかつらいけ,こかつらいけ,いけ,6
ビシャゴ鼻,びしゃごばな,ひしゃこはな,はな,6
ビシャゴ鼻,びしゃごはな,ひしゃこはな,はな,6
香林寺,こーりんじ,こーりんし,んし,5
桂昌殿,けいしょーでん,けいしょーてん,てん,7
鳥崎,とりさき,とりさき,さき,4
烏帽子森,えぼしもり,えほしもり,もり,5
赤蔵ケ池,あぞがいけ,あそかいけ,いけ,5
木津用水,こつよーすい,こつよーすい,すい,6
吹の峰,ふきのとー,ふきのとー,とー,5
ハテ島,はてじま,はてしま,しま,4
館垣山,たてがきやま,たてかきやま,やま,6
祖父祖母島,しんばじま,しんはしま,しま,5
小田原線,おだわらせん,おたわらせん,せん,6
ハンド,はんど,はんと,んと,3
迷沢山,まよいざわやま,まよいさわやま,やま,7
徳力公団前,とくりきこーだんだまえ,とくりきこーたんたまえ,まえ,11
針尾島,はりおじま,はりおしま,しま,5
種子島海峡,たねがしまかいきょー,たねかしまかいきょー,ょー,10
耳納山脈,みのーさんみゃく,みのーさんみゃく,ゃく,8
ミナタ離,みなたはなれ,みなたはなれ,なれ,6
普久川,ふしがわ,ふしかわ,かわ,4
鹿野山,かのーざん,かのーさん,さん,5
筑豊線,ちくほーせん,ちくほーせん,せん,6
赤岳,あかだけ,あかたけ,たけ,4
浅岸,あさぎし,あさきし,きし,4
三つ子島,みつごじま,みつこしま,しま,5
毘沙門岳,びしゃもんがたけ,ひしゃもんかたけ,たけ,8
ＤＢエクスポートＤＲＹビール,でぃーびーえくすぽーとどらいびーる,てぃーひーえくすほーととらいひーる,ーる,17
三辻森,みつじもり,みつしもり,もり,5
ツエノ峰,つえのみね,つえのみね,みね,5
人民大会堂,じんみんだいかいどー,しんみんたいかいとー,とー,10
小金城址,こがねじょーし,こかねしょーし,ーし,7
植坂山,うえさかやま,うえさかやま,やま,6
深堂山,ふかどーやま,ふかとーやま,やま,6
新一宮,しんいちのみや,しんいちのみや,みや,7
花石峠,はないしとーげ,はないしとーけ,ーけ,7
鴨ノ瀬,かものせ,かものせ,のせ,4
平庭峠,ひらにわとーげ,ひらにわとーけ,ーけ,7
住吉公園,すみよしこーえん,すみよしこーえん,えん,8
兵庫崎,ひょーござき,ひょーこさき,さき,6
皆神山,みながみやま,みなかみやま,やま,6
佐藤ケ平,さとーがたいら,さとーかたいら,いら,7
吉田,よした,よした,した,3
金ヶ崎,かねがさき,かねかさき,さき,5
高千穂峡谷,たかちほきょーこく,たかちほきょーこく,こく,9
東洋沢,とーよーざわ,とーよーさわ,さわ,6
柏木島,かしわぎじま,かしわきしま,しま,6
田子の浦,たごのうら,たこのうら,うら,5
折壁,おりかべ,おりかへ,かへ,4
源徳寺,げんとくじ,けんとくし,くし,5
明神平,みょーじんだいら,みょーしんたいら,いら,8
龍岡城,たつおかじょー,たつおかしょー,ょー,7
丸・ノ鼻,まるばえのはな,まるはえのはな,はな,7
多鯰ヶ池,たねがいけ,たねかいけ,いけ,5
三郡森,さんぐんもり,さんくんもり,もり,6
中津山,なかつざん,なかつさん,さん,5
東新潟ＬＮＧ火力発電,ひがしにーがたえるえぬじーかりょくはつでん,ひかしにーかたえるえぬしーかりょくはつてん,てん,21
八尋,やひろ,やひろ,ひろ,3
雷電山,らいでんやま,らいてんやま,やま,6
唐泉山,とーせんざん,とーせんさん,さん,6
女達居山,めたっこやま,めたっこやま,やま,6
妹島,いもーとじま,いもーとしま,しま,6
白銀平,しろがねたい,しろかねたい,たい,6
雲谷峠,もやとーげ,もやとーけ,ーけ,5
熊ヶ畑,くまがはた,くまかはた,はた,5
経平峠,きょーだいらとーげ,きょーたいらとーけ,ーけ,9
雲住寺,うんじゅーじ,うんしゅーし,ーし,6
降路坂,こーろざか,こーろさか,さか,5
風頭,ふーとー,ふーとー,とー,4
加布里,かふり,かふり,ふり,3
久慈湾,くじわん,くしわん,わん,4
一ノ岳,いちのたけ,いちのたけ,たけ,5
菜島,なじま,なしま,しま,3
備中川,びっちゅーがわ,ひっちゅーかわ,かわ,7
鍋割川,なべわりがわ,なへわりかわ,かわ,6
鶴見市場,つるみいちば,つるみいちは,ちは,6
江須崎,えすざき,えすさき,さき,4
朝熊ケ岳,あさまがたけ,あさまかたけ,たけ,6
中国橋,ちゅーごくはし,ちゅーこくはし,はし,7
七日休,なぬかやすみ,なぬかやすみ,すみ,6
胴具足山,どーぐそくやま,とーくそくやま,やま,7
香取,かとり,かとり,とり,3
由良岬,ゆらのはな,ゆらのはな,はな,5
大倉沢,おーくらざわ,おーくらさわ,さわ,6
只見,ただみ,たたみ,たみ,3
築港線,ちっこーせん,ちっこーせん,せん,6
竜安寺,りょーあんじ,りょーあんし,んし,6
竜安寺,りゅーあんじ,りゅーあんし,んし,6
高角,たかつの,たかつの,つの,4
沖の島,おきのしま,おきのしま,しま,5
天ヶ瀬,あまがせ,あまかせ,かせ,4
赤離島,あかばなりじま,あかはなりしま,しま,7
大源太山,だいげんたさん,たいけんたさん,さん,7
寺岳,てらだけ,てらたけ,たけ,4
桧原川,ひばらがわ,ひはらかわ,かわ,5
大鼻,おーはな,おーはな,はな,4
綿向山,わたむきやま,わたむきやま,やま,6
ムラ,むら,むら,むら,2
浜田川,はまだがわ,はまたかわ,かわ,5
ソウツイ谷,そうついたに,そうついたに,たに,6
土本,どもと,ともと,もと,3
大洞川,おーぼらがわ,おーほらかわ,かわ,6
吐合,はきあい,はきあい,あい,4
二ツ岩,ふたついわ,ふたついわ,いわ,5
荷辛地峠,にがらじとーげ,にからしとーけ,ーけ,7
山王帽子山,さんのーぼーしやま,さんのーほーしやま,やま,9
キヱ,きえ,きえ,きえ,2
ローソク岩,ろーそくいわ,ろーそくいわ,いわ,6
ス鼻,すばな,すはな,はな,3
三方湖,みかたこ,みかたこ,たこ,4
五色岳,ごしきだけ,こしきたけ,たけ,5
前宗森,まえむねもり,まえむねもり,もり,6
崩平山,くえのひらやま,くえのひらやま,やま,7
南羽咋,みなみはくい,みなみはくい,くい,6
町名森,ちょーなもり,ちょーなもり,もり,6
播磨屋橋,はりまやばし,はりまやはし,はし,6
伊勢川島,いせかわしま,いせかわしま,しま,6
今津線,いまずせん,いますせん,せん,5
日光,にっこー,にっこー,こー,4
熊伏山,くまぶしやま,くまふしやま,やま,6
韮岳,にらだけ,にらたけ,たけ,4
備前赤崎,びぜんあかさき,ひぜんあかさき,さき,7
野案中島,のあんじゅしま,のあんしゅしま,しま,7
萱野峠,かやのとーげ,かやのとーけ,ーけ,6
ニルバーナ,にるばーな,にるはーな,ーな,5
藤崎,ふじさき,ふしさき,さき,4
大江山,おーえやま,おーえやま,やま,5
伯母ケ峰,おばがみね,おはかみね,みね,5
天銀山,てんぎんやま,てんきんやま,やま,6
姥井戸山,うばいどやま,うはいとやま,やま,6
崎原島,さきばるじま,さきはるしま,しま,6
古岳,ふるだけ,ふるたけ,たけ,4
本照寺,ほんしょーじ,ほんしょーし,ーし,6
パイミ崎,ぱいみざき,はいみさき,さき,5
仏ヶ浦,ほとけがうら,ほとけかうら,うら,6
沖内川,おきないがわ,おきないかわ,かわ,6
大カカリ石,おーかかりいし,おーかかりいし,いし,7
ラ・メール,らめーる,らめーる,ーる,4
横川川,よこかわがわ,よこかわかわ,かわ,6
一之枝,いちのえだ,いちのえた,えた,5
当麻,とーま,とーま,ーま,3
寺田,てらだ,てらた,らた,3
比礼振山,ひれふりやま,ひれふりやま,やま,6
桟敷ケ岳,さじきがだけ,さしきかたけ,たけ,6
正丸峠,しょーまるとーげ,しょーまるとーけ,ーけ,8
越後長沢,えちごながさわ,えちこなかさわ,さわ,7
雁毛山,がんけやま,かんけやま,やま,5
荒沢山,あらさわやま,あらさわやま,やま,6
猪苗代盆地,いなわしろぼんち,いなわしろほんち,んち,8
仏坂,ほとけざか,ほとけさか,さか,5
亀崎,かめざき,かめさき,さき,4
亀崎,かめさき,かめさき,さき,4
高徳本線,こーとくほんせん,こーとくほんせん,せん,8
馬岳,うまだけ,うまたけ,たけ,4
鍋滝,なべだき,なへたき,たき,4
塚山,つかやま,つかやま,やま,4
松葉沢山,まつばさわやま,まつはさわやま,やま,7
泉,いずみ,いすみ,すみ,3
トッカリ島,とっかりしま,とっかりしま,しま,6
比良山地,ひらさんち,ひらさんち,んち,5
日向庄内,ひゅーがしょーない,ひゅーかしょーない,ない,9
東里ケ岳,とーりがだけ,とーりかたけ,たけ,6
糠沢,ぬかざわ,ぬかさわ,さわ,4
牛ヶ口鼻,うしがくちばな,うしかくちはな,はな,7
漆山岳,うるしやまだけ,うるしやまたけ,たけ,7
武佐岳,むさだけ,むさたけ,たけ,4
熱海線,あたみせん,あたみせん,せん,5
前ノ川,まえのかわ,まえのかわ,かわ,5
米沢盆地,よねざわぼんち,よねさわほんち,んち,7
紅葉山,もみじやま,もみしやま,やま,5
瑠辺蕊川,るべしべがわ,るへしへかわ,かわ,6
観月橋,かんげつきょー,かんけつきょー,ょー,7
沼沢湖,ぬまざわこ,ぬまさわこ,わこ,5
小飛島,こびしま,こひしま,しま,4
小飛島,ことびしま,ことひしま,しま,5
千走川,ちはせがわ,ちはせかわ,かわ,5
蛭ケ野,ひるがの,ひるかの,かの,4
井戸峰,いどみね,いとみね,みね,4
川白岬,かわしらみさき,かわしらみさき,さき,7
埴生,はぶ,はふ,はふ,2
ズールー,ずーるー,すーるー,るー,4
大平山,おーひらさん,おーひらさん,さん,6
大平山,たいへいざん,たいへいさん,さん,6
大平山,おーびらやま,おーひらやま,やま,6
大平山,たいへいやま,たいへいやま,やま,6
大平山,おーだいらやま,おーたいらやま,やま,7
大平山,おーひらやま,おーひらやま,やま,6
尾ノ下鼻,おのしたばな,おのしたはな,はな,6
精進川,しょーじんがわ,しょーしんかわ,かわ,7
倉津川,くらつがわ,くらつかわ,かわ,5
飯野山,いーのやま,いーのやま,やま,5
母島列島,ははじまれっとー,ははしまれっとー,とー,8
生駒山地,いこまさんち,いこまさんち,んち,6
