surface,reading,reading_seion,reading_search,count_hira
長島観光開発,ながしまかんこーかいはつ,なかしまかんこーかいはつ,はつ,12
マルティ,まるてぃ,まるてぃ,てぃ,4
燐化学工業,りんかがくこーぎょー,りんかかくこーきょー,ょー,10
大垣市民病院,おーがきしみんびょーいん,おーかきしみんひょーいん,いん,12
東洋クロス,とーよーくろす,とーよーくろす,ろす,7
マグレガーゴルフジャパン,まぐれがーごるふじゃぱん,まくれかーこるふしゃはん,はん,12
いずみ製菓,いずみせいか,いすみせいか,いか,6
董仙会恵寿総合病院,とーせんかいけいじゅそーごーびょーいん,とーせんかいけいしゅそーこーひょーいん,いん,19
東急不動産,とーきゅーふどーさん,とーきゅーふとーさん,さん,10
オカハシ,おかはし,おかはし,はし,4
藤田保健衛生大学七栗サナトリウム,ふじたほけんえいせいだいがくななくりさなとりゅーむ,ふしたほけんえいせいたいかくななくりさなとりゅーむ,ーむ,25
東北福祉大,とーほくふくしだい,とーほくふくしたい,たい,9
市文,いちぶん,いちふん,ふん,4
橋爪商事,はしずめしょーじ,はしすめしょーし,ーし,8
青森システムラボラトリ,あおもりしすてむらぼらとり,あおもりしすてむらほらとり,とり,13
ソニー・ミュージックアーティスツ,そにーみゅーじっくあーてぃすつ,そにーみゅーしっくあーてぃすつ,すつ,15
ゼネラルアサヒ,ぜねらるあさひ,ぜねらるあさひ,さひ,7
菅原病院,すがわらびょーいん,すかわらひょーいん,いん,9
大東京信用組合,だいとーきょーしんよーくみあい,たいとーきょーしんよーくみあい,あい,15
大阪女子短期大学高等学校,おーさかじょしたんきだいがくこーとーがっこー,おーさかしょしたんきたいかくこーとーかっこー,こー,22
ニチハン,にちはん,にちはん,はん,4
阿含宗,あごんしゅー,あこんしゅー,ゅー,6
イデシギョー,いでしぎょー,いてしきょー,ょー,6
梅光女学院短大,ばいこーじょがくいんたんだい,はいこーしょかくいんたんたい,たい,14
東急コミュニティー,とーきゅーこみゅにてぃー,とーきゅーこみゅにてぃー,ぃー,12
三宝,さんぽー,さんほー,ほー,4
東北日通工,とーほくにっつーこー,とーほくにっつーこー,こー,10
久留米工業高等専門学校,くるめこーぎょーこーとーせんもんがっこー,くるめこーきょーこーとーせんもんかっこー,こー,20
京三製作所,きょーさんせいさくしょ,きょーさんせいさくしょ,しょ,11
オリコ生命保険,おりこせいめいほけん,おりこせいめいほけん,けん,10
札幌香蘭女子短期大学,さっぽろこーらんじょしたんきだいがく,さっほろこーらんしょしたんきたいかく,かく,18
大阪教育大学,おーさかきょーいくだいがく,おーさかきょーいくたいかく,かく,13
高野山高等学校,こーやさんこーとーがっこー,こーやさんこーとーかっこー,こー,13
いすゞモーター,いすずもーたー,いすすもーたー,たー,7
熊本県民テレビ,くまもとけんみんてれび,くまもとけんみんてれひ,れひ,11
小牧電力センター,こまきでんりょくせんたー,こまきてんりょくせんたー,たー,12
シルク・ドゥ・ソレイユ,しるくどぅそれいゆ,しるくとぅそれいゆ,いゆ,9
日本ファイリング,にほんふぁいりんぐ,にほんふぁいりんく,んく,9
帝塚山学院短大,てずかやまがくいんたんだい,てすかやまかくいんたんたい,たい,13
理研ビニル工業,りけんびにるこーぎょー,りけんひにるこーきょー,ょー,11
トーホク商事,とーほくしょーじ,とーほくしょーし,ーし,8
天水,てんすい,てんすい,すい,4
寶酒造,たからしゅぞー,たからしゅそー,そー,7
愛媛大学,えひめだいがく,えひめたいかく,かく,7
福助,ふくすけ,ふくすけ,すけ,4
ブリヂストンエラステック,ぶりじすとんえらすてっく,ふりしすとんえらすてっく,っく,12
三洋シリコン電子,さんよーしりこんでんし,さんよーしりこんてんし,んし,11
大東本社,だいとーほんしゃ,たいとーほんしゃ,しゃ,8
宇部貿易,うべぼーえき,うへほーえき,えき,6
厚木商事,あつぎしょーじ,あつきしょーし,ーし,7
キムラタン,きむらたん,きむらたん,たん,5
三島ク,みしまく,みしまく,まく,4
コスモ石油,こすもせきゆ,こすもせきゆ,きゆ,6
リョーサン,りょーさん,りょーさん,さん,5
ニューウォールシステム,にゅーうぉーるしすてむ,にゅーうぉーるしすてむ,てむ,11
セイコー,せいこー,せいこー,こー,4
ユシロ化学工業,ゆしろかがくこーぎょー,ゆしろかかくこーきょー,ょー,11
櫻護謨,さくらごむ,さくらこむ,こむ,5
サンヨー,さんよー,さんよー,よー,4
西日本工業大学,にしにっぽんこーぎょーだいがく,にしにっほんこーきょーたいかく,かく,15
高松シティエフエム,たかまつしてぃえふえむ,たかまつしてぃえふえむ,えむ,11
白河製造所,しらかわせいぞーしょ,しらかわせいそーしょ,しょ,10
電気興業,でんきこーぎょー,てんきこーきょー,ょー,8
登別プリンスホテル,のぼりべつぷりんすほてる,のほりへつふりんすほてる,てる,12
トーハン,とーはん,とーはん,はん,4
高知銀行,こーちぎんこー,こーちきんこー,こー,7
高岡法科大学,たかおかほーかだいがく,たかおかほーかたいかく,かく,11
川崎重工,かわさきじゅーこー,かわさきしゅーこー,こー,9
華燿会,かよーかい,かよーかい,かい,5
大分県立碩信高等学校,おーいたけんりつせきしんこーとーがっこー,おーいたけんりつせきしんこーとーかっこー,こー,20
銭高組,ぜにだかぐみ,ぜにたかくみ,くみ,6
宮地鐵工所,みやじてっこーしょ,みやしてっこーしょ,しょ,9
沖縄松下ライフエレクトロニクス,おきなわまつしたらいふえれくとろにくす,おきなわまつしたらいふえれくとろにくす,くす,19
フドウ建研,ふどーけんけん,ふとーけんけん,けん,7
佐藤病院,さとーびょーいん,さとーひょーいん,いん,8
九州工業大学,きゅーしゅーこーぎょーだいがく,きゅーしゅーこーきょーたいかく,かく,15
明光産業,めいこーさんぎょー,めいこーさんきょー,ょー,9
ジーイー横河メディカルシステム,じーいーよこがわめでぃかるしすてむ,しーいーよこかわめてぃかるしすてむ,てむ,17
セントラルユニ,せんとらるゆに,せんとらるゆに,ゆに,7
三陽電機,さんよーでんき,さんよーてんき,んき,7
海文堂,かいぶんどー,かいふんとー,とー,6
